Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Age,Gender,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Cost,Price,Profit,Quantity,Sales,Total Profit,Month,Year,Quarter,AgeGroup
48,CA-2017-169194,20-Jun-17,25-Jun-17,Standard Class,LH-16900,Lena Hernandez,39,Female,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imationÿ8gb Micro Traveldrive Usb 2.0ÿFlash Drive,185.42,818.23,632.81,6,4909.398252,3796.86,June,2017,Q2,36-45
49,CA-2017-169194,20-Jun-17,25-Jun-17,Standard Class,LH-16900,Lena Hernandez,25,Female,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",619.04,903.05,284.01,21,18964.14972,5964.21,June,2017,Q2,18-25
50,CA-2016-115742,18-Apr-16,22-Apr-16,Standard Class,DP-13000,Darren Powers,27,Male,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",87.19,736.24,649.05,17,12516.13024,11033.85,April,2016,Q2,26-35
51,CA-2016-115742,18-Apr-16,22-Apr-16,Standard Class,DP-13000,Darren Powers,53,Male,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,242.66,953.24,710.59,7,6672.69409,4974.13,April,2016,Q2,46-55
52,CA-2016-115742,18-Apr-16,22-Apr-16,Standard Class,DP-13000,Darren Powers,21,Male,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,357.46,763.57,406.11,19,14507.79141,7716.09,April,2016,Q2,18-25
53,CA-2016-115742,18-Apr-16,22-Apr-16,Standard Class,DP-13000,Darren Powers,55,Male,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",136.89,587.15,450.25,22,12917.20012,9905.5,April,2016,Q2,46-55
56,CA-2017-111682,17-Jun-17,18-Jun-17,First Class,TB-21055,Ted Butterfield,52,Male,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,804.72,437.1,-367.62,18,7867.773349,-6617.16,June,2017,Q2,46-55
57,CA-2017-111682,17-Jun-17,18-Jun-17,First Class,TB-21055,Ted Butterfield,51,Male,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,392.64,157.29,-235.36,17,2673.879838,-4001.12,June,2017,Q2,46-55
58,CA-2017-111682,17-Jun-17,18-Jun-17,First Class,TB-21055,Ted Butterfield,42,Male,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,87.4,1.51,-85.9,15,22.60573185,-1288.5,June,2017,Q2,36-45
59,CA-2017-111682,17-Jun-17,18-Jun-17,First Class,TB-21055,Ted Butterfield,49,Male,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",488.25,42.56,-445.69,16,680.9024654,-7131.04,June,2017,Q2,46-55
60,CA-2017-111682,17-Jun-17,18-Jun-17,First Class,TB-21055,Ted Butterfield,33,Male,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imationÿ8gb Micro Traveldrive Usb 2.0ÿFlash Drive,159.47,360.48,201,8,2883.827155,1608,June,2017,Q2,26-35
61,CA-2017-111682,17-Jun-17,18-Jun-17,First Class,TB-21055,Ted Butterfield,38,Male,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,957.08,502.84,-454.24,25,12570.98008,-11356,June,2017,Q2,36-45
62,CA-2017-111682,17-Jun-17,18-Jun-17,First Class,TB-21055,Ted Butterfield,45,Male,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,306.2,295.23,-10.97,12,3542.806551,-131.64,June,2017,Q2,36-45
63,CA-2016-135545,24-Nov-16,30-Nov-16,Standard Class,KM-16720,Kunst Miller,46,Male,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",635.51,683.8,48.29,21,14359.77677,1014.09,November,2016,Q4,46-55
64,CA-2016-135545,24-Nov-16,30-Nov-16,Standard Class,KM-16720,Kunst Miller,31,Male,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",391.32,740.7,349.38,19,14073.22008,6638.22,November,2016,Q4,26-35
65,CA-2016-135545,24-Nov-16,30-Nov-16,Standard Class,KM-16720,Kunst Miller,34,Male,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,855.78,198.26,-657.52,9,1784.381756,-5917.68,November,2016,Q4,26-35
66,CA-2016-135545,24-Nov-16,30-Nov-16,Standard Class,KM-16720,Kunst Miller,59,Male,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,145.26,413.09,267.83,2,826.180006,535.66,November,2016,Q4,55+
70,CA-2017-119823,04-Jun-17,06-Jun-17,First Class,KD-16270,Karen Daniels,52,Female,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",623.34,978.67,355.33,10,9786.692444,3553.3,June,2017,Q2,46-55
71,CA-2017-106075,18-Sep-17,23-Sep-17,Standard Class,HM-14980,Henry MacAllister,46,Male,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,160.93,676.2,515.28,8,5409.631112,4122.24,September,2017,Q3,46-55
72,CA-2018-114440,14-Sep-18,17-Sep-18,Second Class,TB-21520,Tracy Blumstein,26,Female,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",190.36,14.39,-175.96,18,259.0547228,-3167.28,September,2018,Q3,26-35
73,US-2016-134026,26-Apr-16,02-May-16,Standard Class,JE-15745,Joel Eaton,56,Male,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,890.82,454.88,-435.94,19,8642.734197,-8282.86,April,2016,Q2,55+
74,US-2016-134026,26-Apr-16,02-May-16,Standard Class,JE-15745,Joel Eaton,52,Male,Consumer,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",335.84,476.11,140.27,10,4761.075788,1402.7,April,2016,Q2,46-55
75,US-2016-134026,26-Apr-16,02-May-16,Standard Class,JE-15745,Joel Eaton,23,Male,Consumer,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,469.6,689.82,220.23,4,2759.299315,880.92,April,2016,Q2,18-25
79,US-2015-147606,26-Nov-15,01-Dec-15,Second Class,JE-15745,Joel Eaton,33,Male,Consumer,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",696.55,122.51,-574.04,24,2940.211428,-13776.96,November,2015,Q4,26-35
82,CA-2015-139451,12-Oct-15,16-Oct-15,Standard Class,DN-13690,Duane Noonan,25,Female,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",241.57,516.48,274.91,1,516.4788574,274.91,October,2015,Q4,18-25
83,CA-2015-139451,12-Oct-15,16-Oct-15,Standard Class,DN-13690,Duane Noonan,54,Female,Consumer,United States,San Francisco,California,94122,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",57.68,954.75,897.07,17,16230.75146,15250.19,October,2015,Q4,46-55
86,CA-2018-140088,28-May-18,30-May-18,Second Class,PO-18865,Patrick O'Donnell,22,Male,Consumer,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,584.38,422.34,-162.04,21,8869.145783,-3402.84,May,2018,Q2,18-25
87,CA-2018-155558,26-Oct-18,02-Nov-18,Standard Class,PG-18895,Paul Gonzalez,21,Male,Consumer,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,LogitechÿLS21 Speaker System - PC Multimedia - 2.1-CH - Wired,705.75,812.12,106.37,4,3248.49345,425.48,October,2018,Q4,18-25
88,CA-2018-155558,26-Oct-18,02-Nov-18,Standard Class,PG-18895,Paul Gonzalez,37,Male,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,246.56,177.03,-69.53,12,2124.332789,-834.36,October,2018,Q4,36-45
93,CA-2016-149587,31-Jan-16,05-Feb-16,Second Class,KB-16315,Karl Braun,23,Male,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,663.9,784.5,120.6,16,12551.93087,1929.6,January,2016,Q1,18-25
94,CA-2016-149587,31-Jan-16,05-Feb-16,Second Class,KB-16315,Karl Braun,41,Male,Consumer,United States,Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",427.71,674.12,246.4,2,1348.23706,492.8,January,2016,Q1,36-45
95,CA-2016-149587,31-Jan-16,05-Feb-16,Second Class,KB-16315,Karl Braun,42,Male,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,982.1,576.28,-405.82,20,11525.62349,-8116.4,January,2016,Q1,36-45
98,CA-2018-157833,17-Jun-18,20-Jun-18,First Class,KD-16345,Katherine Ducich,51,Female,Consumer,United States,San Francisco,California,94122,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,223.38,277.91,54.53,13,3612.852054,708.89,June,2018,Q2,46-55
103,CA-2017-129903,01-Dec-17,04-Dec-17,Second Class,GZ-14470,Gary Zandusky,39,Male,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),650.92,785.4,134.48,2,1570.806968,268.96,December,2017,Q4,36-45
104,US-2016-156867,13-Nov-16,17-Nov-16,Standard Class,LC-16870,Lena Cacioppo,47,Female,Consumer,United States,Aurora,Colorado,80013,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,793.42,448.47,-344.95,3,1345.416451,-1034.85,November,2016,Q4,46-55
105,US-2016-156867,13-Nov-16,17-Nov-16,Standard Class,LC-16870,Lena Cacioppo,24,Female,Consumer,United States,Aurora,Colorado,80013,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",135.9,281.59,145.69,17,4787.051652,2476.73,November,2016,Q4,18-25
106,US-2016-156867,13-Nov-16,17-Nov-16,Standard Class,LC-16870,Lena Cacioppo,53,Female,Consumer,United States,Aurora,Colorado,80013,West,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",619.99,939.5,319.5,10,9394.951568,3195,November,2016,Q4,46-55
107,CA-2018-119004,23-Nov-18,28-Nov-18,Standard Class,JM-15250,Janet Martin,40,Female,Consumer,United States,Charlotte,North Carolina,28205,South,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,250.34,434.38,184.04,10,4343.798698,1840.4,November,2018,Q4,36-45
108,CA-2018-119004,23-Nov-18,28-Nov-18,Standard Class,JM-15250,Janet Martin,46,Female,Consumer,United States,Charlotte,North Carolina,28205,South,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,295.4,532.65,237.25,7,3728.582084,1660.75,November,2018,Q4,46-55
109,CA-2018-119004,23-Nov-18,28-Nov-18,Standard Class,JM-15250,Janet Martin,55,Female,Consumer,United States,Charlotte,North Carolina,28205,South,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,510.29,110.69,-399.6,16,1771.098902,-6393.6,November,2018,Q4,46-55
3,CA-2017-138688,12-Jun-17,16-Jun-17,Second Class,DV-13045,Darrin Van Huff,58,Male,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,537.68,159.28,-378.4,12,1911.39775,-4540.8,June,2017,Q2,55+
15,US-2016-118983,22-Nov-16,26-Nov-16,Standard Class,HP-14815,Harold Pawlan,44,Male,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",803.28,725.46,-77.83,1,725.4552952,-77.83,November,2016,Q4,36-45
16,US-2016-118983,22-Nov-16,26-Nov-16,Standard Class,HP-14815,Harold Pawlan,55,Male,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,351.75,586.56,234.81,22,12904.31631,5165.82,November,2016,Q4,46-55
22,CA-2017-137330,09-Dec-17,13-Dec-17,Standard Class,KB-16585,Ken Black,59,Male,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,154,564.5,410.5,8,4515.970601,3284,December,2017,Q4,55+
23,CA-2017-137330,09-Dec-17,13-Dec-17,Standard Class,KB-16585,Ken Black,38,Male,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",969.56,73.08,-896.48,2,146.1597015,-1792.96,December,2017,Q4,36-45
35,CA-2018-107727,19-Oct-18,23-Oct-18,Second Class,MA-17560,Matt Abelman,40,Male,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,500.8,562.08,61.27,3,1686.23117,183.81,October,2018,Q4,36-45
36,CA-2017-117590,08-Dec-17,10-Dec-17,First Class,GH-14485,Gene Hale,36,Female,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,702.18,580.41,-121.76,7,4062.877937,-852.32,December,2017,Q4,36-45
37,CA-2017-117590,08-Dec-17,10-Dec-17,First Class,GH-14485,Gene Hale,54,Female,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",816.79,332.61,-484.19,4,1330.433705,-1936.76,December,2017,Q4,46-55
38,CA-2016-117415,27-Dec-16,31-Dec-16,Standard Class,SN-20710,Steve Nguyen,57,Male,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",866.76,75.04,-791.72,9,675.3258823,-7125.48,December,2016,Q4,55+
39,CA-2016-117415,27-Dec-16,31-Dec-16,Standard Class,SN-20710,Steve Nguyen,48,Male,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",915.83,618.75,-297.09,18,11137.436,-5347.62,December,2016,Q4,46-55
40,CA-2016-117415,27-Dec-16,31-Dec-16,Standard Class,SN-20710,Steve Nguyen,27,Male,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",990.31,399.45,-590.86,22,8787.869102,-12998.92,December,2016,Q4,26-35
41,CA-2016-117415,27-Dec-16,31-Dec-16,Standard Class,SN-20710,Steve Nguyen,34,Male,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,827.12,359.77,-467.36,7,2518.377943,-3271.52,December,2016,Q4,26-35
42,CA-2018-120999,10-Sep-18,15-Sep-18,Standard Class,LC-16930,Linda Cazamias,52,Female,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,429.08,30.69,-398.39,10,306.9458167,-3983.9,September,2018,Q3,46-55
43,CA-2017-101343,17-Jul-17,22-Jul-17,Standard Class,RA-19885,Ruben Ausman,44,Male,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",205.78,995.4,789.62,23,22894.29727,18161.26,July,2017,Q3,36-45
44,CA-2018-139619,19-Sep-18,23-Sep-18,Standard Class,ES-14080,Erin Smith,32,Male,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",913.38,242.91,-670.47,10,2429.108418,-6704.7,September,2018,Q3,26-35
45,CA-2017-118255,11-Mar-17,13-Mar-17,First Class,ON-18715,Odella Nelson,39,Female,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",542.25,649.85,107.6,1,649.8492626,107.6,March,2017,Q1,36-45
